2024-06-16 11:30:51.203 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 11:30:51.590 -05 [9004] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.349 s, sync=0.015 s, total=0.387 s; sync files=4, longest=0.009 s, average=0.004 s; distance=14 kB, estimate=318 kB; lsn=0/37C50A8, redo lsn=0/37C5070
2024-06-16 11:35:02.630 -05 [8400] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:02.631 -05 [24476] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:02.638 -05 [16668] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:02.643 -05 [20708] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:02.648 -05 [10076] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:04.595 -05 [19628] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:04.596 -05 [744] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:08.654 -05 [11272] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:08.654 -05 [23460] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:33.310 -05 [20668] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:33.311 -05 [20968] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:33.311 -05 [5432] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:33.311 -05 [24416] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:33.312 -05 [8280] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-16 11:35:51.603 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 11:35:53.276 -05 [9004] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.645 s, sync=0.020 s, total=1.673 s; sync files=8, longest=0.009 s, average=0.003 s; distance=79 kB, estimate=294 kB; lsn=0/37D8EE0, redo lsn=0/37D8EA8
2024-06-16 11:40:51.280 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 11:40:51.939 -05 [9004] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.638 s, sync=0.012 s, total=0.660 s; sync files=7, longest=0.007 s, average=0.002 s; distance=29 kB, estimate=268 kB; lsn=0/37E0340, redo lsn=0/37E0308
2024-06-16 12:00:51.950 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 12:00:52.316 -05 [9004] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.015 s, total=0.367 s; sync files=4, longest=0.009 s, average=0.004 s; distance=9 kB, estimate=242 kB; lsn=0/37E2778, redo lsn=0/37E2740
2024-06-16 12:20:51.338 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 12:20:52.245 -05 [9004] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.879 s, sync=0.012 s, total=0.907 s; sync files=7, longest=0.003 s, average=0.002 s; distance=31 kB, estimate=221 kB; lsn=0/37EA658, redo lsn=0/37EA620
2024-06-16 12:30:51.249 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 12:30:52.148 -05 [9004] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.866 s, sync=0.011 s, total=0.899 s; sync files=7, longest=0.007 s, average=0.002 s; distance=35 kB, estimate=202 kB; lsn=0/37F3380, redo lsn=0/37F3348
2024-06-16 12:35:51.158 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 12:35:51.848 -05 [9004] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.668 s, sync=0.011 s, total=0.691 s; sync files=7, longest=0.007 s, average=0.002 s; distance=23 kB, estimate=184 kB; lsn=0/37F90A8, redo lsn=0/37F9070
2024-06-16 12:40:51.853 -05 [9004] LOG:  empezando checkpoint: time
2024-06-16 12:40:54.276 -05 [9004] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.393 s, sync=0.021 s, total=2.423 s; sync files=10, longest=0.009 s, average=0.003 s; distance=88 kB, estimate=175 kB; lsn=0/380F330, redo lsn=0/380F2F8
2024-06-16 12:45:51.292 -05 [9004] LOG:  empezando checkpoint: time
